type,timestamp,carrier_id,pci,nof_rach,ue_rnti,dl_cqi,dl_mcs,ul_pusch_rssi,ul_pucch_rssi,ul_pucch_ni,ul_pusch_tpc,ul_pucch_tpc,dl_cqi_offset,ul_snr_offset,dl_bitrate,dl_bler,ul_snr,ul_mcs,ul_bitrate,ul_bler,ul_phr,ul_bsr,bearer_id,qci,dl_total_bytes,ul_total_bytes,dl_latency,ul_latency,dl_buffered_bytes,ul_buffered_bytes
metrics,1731770924755,0,1,1,70,6.6086955,6.373494,-93.72742,-91.764496,58.54982,0,0,-0.34100002,0.15700014,4232.0,51.612904,1.312734,0.6512604,10384.0,34.80663,39.88889,0,3,9,84,317,0.049,0.021,0,0
metrics,1731770925755,0,1,1,70,2.9166667,0.6285714,-93.360214,-91.84864,58.602123,0,0,-0.32900017,0.19500022,1096.0,7.6923075,1.6872506,0.0,3344.0,9.523809,40.0,0,3,9,168,470,0.038,0.02,0,0
metrics,1731770926755,0,1,1,70,3.304348,0.32258064,-93.4238,-92.13743,58.50686,0,0,-0.33200037,0.27000007,1192.0,30.434782,1.7345493,0.48387095,6600.0,20.212767,40.0,1019,3,9,252,767,0.034,0.02,0,0
metrics,1731770927755,0,1,1,70,7.0000005,1.0294118,-93.64192,-91.5348,58.657444,0,0,-0.34300047,0.2989997,912.0,33.333332,1.553048,0.0,2552.0,27.5,40.0,0,3,9,336,919,0.032,0.02,0,0
metrics,1731770928755,0,1,1,70,9.166666,3.5384614,-93.636116,-91.852554,58.6193,0,0,-0.37300056,0.32699934,968.0,20.0,1.383566,0.61999995,2464.0,26.31579,40.0,0,3,9,420,1005,0.03,0.02,0,0
metrics,1731770929755,0,1,1,70,9.0,7.6666665,-93.92264,-90.438995,58.355915,0,0,-0.4250006,0.37499872,920.0,50.0,1.1244411,0.54385966,4224.0,44.827587,39.666668,763,3,9,504,1238,0.033,0.019,0,16
metrics,1731770930755,0,1,1,70,11.181817,1.6493506,-94.351906,-92.66711,58.36136,0,0,-0.4920007,0.41199824,1040.0,65.38461,0.7340303,1.4808747,3256.0,73.57143,39.8,7,3,9,588,1322,0.043,0.02,0,40
metrics,1731770931755,0,1,1,70,13.411765,5.419162,-94.52638,-93.18315,58.532043,0,0,-0.9010007,0.50699705,1912.0,83.01887,0.6329716,1.3359008,8360.0,81.150795,40.0,0,3,9,588,1616,0.043,0.121,84,76
metrics,1731770932755,0,1,1,70,12.894736,3.6250002,-94.363594,-92.871,58.52989,0,0,-0.9740007,0.56199634,936.0,70.0,0.7542559,1.2680851,4840.0,69.94536,40.0,0,3,9,672,1838,0.041,0.141,0,8
metrics,1731770933755,0,1,1,70,14.75,6.839286,-94.4913,-93.318016,58.353725,0,0,-1.1410009,0.5729962,104.0,77.77778,0.7750667,1.2121212,968.0,71.052635,40.0,0,3,9,672,1924,0.041,0.143,84,0
metrics,1731770934755,0,1,1,70,11.916667,8.612501,-94.430275,-93.661865,58.53322,0,0,-1.3010008,0.5739962,3208.0,59.25926,0.64034307,0.0,88.0,93.75,40.0,0,3,9,672,1924,0.041,0.143,84,0
metrics,1731770935755,0,1,1,70,12.166667,12.857142,-94.09906,-93.64809,58.649292,0,0,-1.4490011,0.5749962,2344.0,73.333336,-0.064255886,0.0,88.0,75.0,40.0,0,3,9,672,1924,0.041,0.143,84,0
metrics,1731770936755,0,1,3,70,15.0,19.628866,0.0,-1088.8394,706.73773,0,0,-2.073003,0.5749962,1224.0,91.666664,0.0,0.0,0.0,0.0,0.0,0,3,9,672,1924,0.041,0.143,84,0
metrics,1731770937755,0,1,3,70,12.999999,3.477478,-94.40423,-92.38692,58.682148,0,0,-2.298004,0.5949959,464.0,90.90909,0.7077952,1.2052981,1760.0,64.91228,40.0,0,3,9,672,1990,0.041,0.139,84,0
metrics,1731770938755,0,1,3,70,15.0,13.73913,0.0,-189.98543,114.111244,0,0,-2.9820058,0.5949959,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0,3,9,672,1990,0.041,0.139,84,0
metrics,1731770939755,0,1,5,70,12.666668,12.37037,-94.749954,-92.74322,58.621513,0,0,-3.662008,0.60099584,1448.0,91.304344,0.5403162,0.62626266,528.0,83.333336,40.0,238,3,9,672,1990,0.041,0.139,84,0
metrics,1731770940755,0,1,5,70,8.0,0.9655174,-94.51913,-94.509155,57.78444,0,0,-3.7190082,0.6519952,0.0,100.0,0.6824372,1.3794553,4488.0,72.72727,40.0,0,3,9,756,1990,0.041,0.139,0,302
metrics,1731770941755,0,1,5,70,12.5,4.2613645,-94.26217,-94.45293,58.37831,0,0,-4.041009,0.67899483,56.0,96.296295,0.9310467,1.4545453,2376.0,57.142857,40.0,0,3,9,756,2368,0.041,0.271,0,0
metrics,1731770942755,0,1,7,70,10.833333,7.082352,-95.2091,-92.96086,58.12194,0,0,-4.5700107,0.67899483,672.0,90.32258,-0.21369988,0.0,0.0,100.0,0.0,0,3,9,756,2368,0.041,0.271,0,0
metrics,1731770943755,0,1,7,70,12.4,0.0,-95.20166,-93.727554,58.165665,0,0,-4.5700107,0.67899483,0.0,100.0,-0.2172393,0.0,0.0,100.0,0.0,0,3,9,756,2368,0.041,0.271,0,0
metrics,1731770944755,0,1,12,81,13.249999,5.868421,-94.113556,-91.21044,58.588882,0,0,0.009000001,0.013000001,4066.6665,25.0,1.1094486,1.2907802,3088.8887,75.92593,40.0,0,3,9,0,0,0.0,0.0,0,0
metrics,1731770945755,0,1,13,82,15.0,12.166667,-94.48945,-85.419075,59.101982,0,0,-0.074,0.018000001,3033.3333,66.666664,0.6258641,0.34834838,6466.6665,86.15385,40.0,250,3,9,0,0,0.0,0.0,0,8
metrics,1731770949755,0,1,26,95,12.0,0.0,-95.19604,0.0,0.0,0,0,0.001,0.004,4266.6665,0.0,0.036568582,0.0,5333.333,0.0,36.0,0,3,9,0,0,0.0,0.0,0,0
metrics,1731770950755,0,1,26,95,7.909091,2.25,-94.35088,-87.84151,58.595142,0,0,0.009000001,0.032,552.0,27.272728,0.8081633,1.1417624,2464.0,71.71717,33.714287,0,3,9,0,0,0.0,0.0,0,0
