time;nof_ue;dl_brate;ul_brate;proc_rmem;proc_rmem_kB;proc_vmem_kB;sys_mem;system_load;thread_count;cpu_0;cpu_1;cpu_2;cpu_3;cpu_4;cpu_5;cpu_6;cpu_7;cpu_8;cpu_9;cpu_10;cpu_11
0;0;0.0;0.0;1.8;579640;1561656;21;3.1;19;8.0;2.0;7.0;4.0;2.0;10;8.0;1.00;13;1.00;0.0;2.0
1;0;0.0;0.0;1.8;579640;1561656;21;3.8;19;5.0;1.00;10;3.0;18;10;11;1.00;4.0;1.00;1.00;2.0
2;0;0.0;0.0;1.8;579640;1561656;21;4.0;19;1.00;1.00;10;2.0;5.0;13;13;1.00;3.0;3.0;18;1.00
3;0;0.0;0.0;1.8;579640;1561656;21;4.2;19;12;3.9;9.9;0.90;2.9;9.9;1.9;1.9;0.0;0.90;20;15
4;0;0.0;0.0;1.8;579640;1561656;21;4.1;19;1.9;4.9;9.9;0.90;1.9;14;0.90;0.90;0.90;2.9;16;15
5;0;0.0;0.0;1.8;579640;1561656;21;4.0;19;4.0;21;11;1.00;1.00;10;11;0.0;2.0;3.0;1.00;4.0
6;0;0.0;0.0;1.8;579640;1561656;21;4.0;19;1.9;20;9.9;2.9;3.9;13;14;3.9;0.90;1.9;1.9;0.90
7;0;0.0;0.0;1.8;579640;1561656;21;4.0;19;5.0;13;9.0;1.00;15;10;3.0;1.00;1.00;1.00;7.0;1.00
8;0;0.0;0.0;1.8;579640;1561656;21;3.9;19;4.0;6.0;13;5.0;20;13;5.0;1.00;2.0;2.0;0.0;1.00
9;0;0.0;0.0;1.8;579640;1561656;21;3.8;19;8.9;4.9;8.9;0.90;1.9;8.9;7.9;7.9;1.9;0.90;11;1.9
10;0;0.0;0.0;1.8;579640;1561656;21;4.0;19;13;9.9;8.9;0.0;0.90;13;0.90;13;1.9;2.9;1.9;1.9
11;0;0.0;0.0;1.8;579640;1561656;21;3.9;19;13;15;12;1.9;0.90;9.9;3.9;6.9;1.9;1.9;0.90;0.90
12;0;0.0;0.0;1.8;579640;1561656;21;3.8;19;11;20;9.0;1.00;1.00;10;5.0;2.0;3.0;1.00;1.00;4.0
13;0;0.0;0.0;1.8;579640;1561656;21;3.8;19;1.9;21;8.9;1.9;0.90;8.9;2.9;14;3.9;0.90;0.90;0.0
14;0;0.0;0.0;1.8;579640;1561656;21;4.1;19;2.0;12;9.0;7.0;11;11;2.0;6.0;4.0;1.00;2.0;7.0
15;0;0.0;0.0;1.8;579640;1561656;21;4.3;19;2.9;0.90;5.9;14;20;9.9;3.9;1.9;5.9;1.9;0.90;3.9
16;0;0.0;0.0;1.8;579640;1561656;21;4.2;19;12;5.0;5.0;11;8.0;13;1.00;2.0;5.0;1.00;3.0;4.0
17;2;4753.623047;35246.375000;1.8;586232;1563544;21;4.3;19;5.0;7.0;8.0;5.0;1.00;11;19;9.0;6.0;2.0;1.00;2.0
18;1;3080.000000;5656.000000;1.8;590720;1567320;21;4.6;19;8.9;6.9;5.9;2.9;1.9;13;21;5.9;5.9;0.90;4.9;0.90
19;1;0.0;0.0;1.8;590720;1567320;21;4.2;19;0.90;12;6.9;21;0.90;9.9;0.90;5.9;5.9;1.9;0.90;2.9
20;1;16;0.0;1.8;590720;1567320;21;4.3;19;3.0;11;7.0;1.00;5.0;13;19;5.0;6.0;1.00;2.0;2.0
21;1;0.0;0.0;1.8;590720;1567320;21;4.5;19;8.0;15;6.0;2.0;2.0;10;16;3.0;6.0;1.00;2.0;4.0
22;1;176;3960.000000;1.8;590720;1567320;21;4.3;19;1.00;5.0;6.0;0.0;1.00;13;21;12;6.0;2.0;2.0;2.0
23;1;56;1408.000000;1.8;590720;1567320;21;4.3;19;0.90;7.9;7.9;1.9;1.9;11;22;3.9;5.9;7.9;1.9;0.90
24;1;0.0;0.0;1.8;590720;1567320;21;4.1;19;13;0.0;10;1.00;3.0;12;18;1.00;4.0;3.0;2.0;1.00
25;1;16;0.0;1.8;590720;1567320;21;3.7;19;3.0;2.0;12;5.0;2.0;10;9.0;2.0;20;2.0;2.0;1.00
26;1;0.0;0.0;1.8;590720;1567320;21;3.8;19;1.9;0.90;14;7.9;2.9;9.9;3.9;3.9;15;1.9;1.9;3.9
27;1;112;4048.000000;1.8;590720;1567320;21;3.8;19;3.0;2.0;20;4.0;4.0;10;10;1.00;9.0;2.0;4.0;1.00
28;1;56;1408.000000;1.8;590720;1567320;21;3.8;19;7.0;1.00;21;2.0;3.0;12;6.0;1.00;10;1.00;2.0;2.0
29;1;112;3576.000000;1.8;590720;1567320;21;3.8;19;7.9;5.9;20;0.90;1.9;8.9;1.9;3.9;8.9;3.9;1.9;0.90
30;1;56;1496.000000;1.8;590720;1567320;21;3.8;19;5.0;3.0;12;7.0;4.0;10;1.00;1.00;18;6.0;1.00;3.0
31;1;0.0;1760.000000;1.8;590720;1567320;21;3.8;19;0.90;0.90;11;1.9;0.90;9.9;1.9;1.9;21;12;0.90;3.9
32;1;168;4896.000000;1.8;590720;1567320;21;3.8;19;1.00;1.00;10;4.0;6.0;10;3.0;2.0;21;5.0;7.0;1.00
33;1;56;1408.000000;1.8;590720;1567320;21;3.8;19;11;0.90;8.9;0.90;2.9;9.9;0.90;0.90;20;2.9;4.9;2.9
34;1;264;8328.000000;1.8;590720;1567320;21;3.9;19;4.0;1.00;19;3.0;0.0;9.0;11;2.0;12;4.0;2.0;1.00
35;1;200;3576.000000;1.8;590720;1567320;21;3.7;19;2.0;3.0;19;2.0;3.0;10;9.0;2.0;9.0;1.00;1.00;4.0
36;1;72;1760.000000;1.8;590720;1567320;21;4.0;19;3.0;14;14;2.0;3.0;10;1.00;7.0;10;4.0;1.00;1.00
37;1;168;6568.000000;1.8;590720;1567320;21;3.8;19;1.9;4.9;12;3.9;1.9;13;1.9;8.9;18;0.90;1.9;0.90
38;1;88;2552.000000;1.8;590720;1567320;21;3.8;19;3.0;13;9.0;3.0;1.00;10;1.00;0.0;21;4.0;1.00;2.0
39;1;280;9056.000000;1.8;590720;1632856;21;3.8;19;5.9;4.9;8.9;0.90;0.90;12;5.9;0.90;20;1.9;0.90;0.90
40;1;112;4160.000000;1.8;590720;1632856;21;3.9;19;4.0;1.00;6.0;5.0;1.00;11;14;15;11;1.00;1.00;1.00
41;1;56;3256.000000;1.8;590720;1632856;21;4.3;19;11;7.9;1.9;1.9;3.9;9.9;6.9;15;11;3.9;1.9;1.9
42;1;304;8680.000000;1.8;590720;1632856;21;3.9;19;2.0;21;1.00;6.0;2.0;10;4.0;2.0;10;10;1.00;0.0
43;1;56;2200.000000;1.8;590720;1632856;21;3.8;19;2.9;20;1.9;3.9;13;9.9;2.9;0.90;9.9;0.0;1.9;1.9
44;1;56;864;1.8;590720;1632856;21;4.5;19;0.90;15;1.9;1.9;14;11;2.9;11;12;0.90;0.90;0.90
45;1;0.0;0.0;1.8;590720;1632856;21;4.3;19;1.9;11;5.9;1.9;2.9;11;3.9;8.9;7.9;0.90;1.9;13
46;1;0.0;0.0;1.8;590720;1632856;21;4.3;19;4.0;12;5.0;2.0;2.0;11;4.0;10;6.0;2.0;2.0;16
47;1;0.0;0.0;1.8;590720;1632856;21;4.6;19;1.00;22;7.0;1.00;2.0;10;3.0;13;9.0;1.00;1.00;4.0
48;1;0.0;0.0;1.8;590720;1632856;21;4.3;19;4.9;7.9;8.9;11;1.9;9.9;1.9;4.9;6.9;11;0.90;0.90
49;1;0.0;0.0;1.8;590720;1632856;21;4.1;19;3.9;0.90;9.9;6.9;18;11;0.90;0.90;3.9;12;0.90;1.9
50;1;0.0;0.0;1.8;590720;1632856;21;4.2;19;2.0;3.0;13;2.0;21;10;3.0;2.0;3.0;12;0.0;1.00
51;1;1749.469238;18802.546875;1.8;590944;1629080;21;4.3;19;3.9;3.9;11;1.9;2.9;9.9;9.9;1.9;0.90;2.9;19;0.90
52;1;832;11616.000000;1.8;590944;1629080;21;4.2;19;14;1.9;15;2.9;12;11;0.90;4.9;1.9;0.90;13;1.9
53;1;288;2464.000000;1.8;590944;1629080;21;4.4;19;2.9;13;13;4.9;20;11;0.90;1.9;0.90;1.9;2.9;0.90
54;1;1920.000000;10120.000000;1.8;590944;1629080;21;4.2;19;1.00;12;11;19;3.0;10;2.0;7.0;1.00;1.00;3.0;2.0
55;1;1016.000000;8184.000000;1.8;590944;1629080;21;3.8;19;1.9;9.9;19;8.9;1.9;9.9;2.9;0.90;7.9;1.9;0.90;1.9
56;1;1760.000000;9240.000000;1.8;590944;1629080;21;3.8;19;0.0;2.0;19;2.0;6.0;11;13;0.0;11;1.00;2.0;3.0
57;1;1832.000000;11264.000000;1.8;590944;1629080;21;3.9;19;1.9;0.90;13;3.9;0.90;9.9;3.9;1.9;21;6.9;1.9;2.9
58;1;1744.000000;6336.000000;1.8;590944;1629080;21;3.8;19;1.00;2.0;10;6.0;3.0;10;2.0;2.0;21;7.0;4.0;1.00
59;1;1040.000000;9064.000000;1.8;590944;1629080;21;3.8;19;3.0;1.00;16;2.0;2.0;10;2.0;1.00;14;12;2.0;4.0
60;1;1832.000000;9416.000000;1.8;590944;1629080;21;3.9;19;3.0;1.00;20;4.0;1.00;10;2.0;4.0;10;6.0;3.0;1.00
61;1;1856.000000;8976.000000;1.8;590944;1629080;21;3.9;19;1.00;2.0;20;5.0;2.0;10;4.0;2.0;6.0;14;1.00;4.0
62;1;1880.000000;10824.000000;1.8;590944;1629080;21;3.9;19;1.00;1.00;21;6.0;3.0;11;13;3.0;5.0;2.0;1.00;1.00
63;1;1696.000000;6688.000000;1.8;590944;1629080;21;3.8;19;1.9;4.9;19;4.9;4.9;13;2.9;1.9;5.9;2.9;0.90;9.9
64;1;1920.000000;6864.000000;1.8;590944;1629080;21;3.8;19;12;2.0;18;6.0;4.0;10;1.00;2.0;8.0;4.0;3.0;1.00
65;1;1880.000000;9152.000000;1.8;590944;1629080;21;4.0;19;8.0;1.00;5.0;5.0;1.00;10;2.0;7.0;20;2.0;3.0;3.0
66;1;1880.000000;11264.000000;1.8;590944;1629080;21;3.9;19;2.9;13;17;6.9;2.9;12;1.9;0.90;7.9;0.90;1.9;1.9
67;1;1912.000000;9384.000000;1.8;590944;1629080;21;4.1;19;1.00;5.0;11;5.0;1.00;10;20;3.0;6.0;3.0;4.0;1.00
