Grid Index,Click Time
A6,2024-12-18 12:59:16.14
A6,2024-12-18 12:59:16.89
A5,2024-12-18 12:59:18.25
A5,2024-12-18 12:59:18.95
A5,2024-12-18 12:59:19.57
A5,2024-12-18 12:59:20.20
A5,2024-12-18 12:59:20.90
A5,2024-12-18 12:59:21.52
A5,2024-12-18 12:59:24.22
A5,2024-12-18 12:59:24.97
A5,2024-12-18 12:59:25.60
A5,2024-12-18 12:59:26.28
A5,2024-12-18 12:59:26.81
A5,2024-12-18 12:59:27.39
A5,2024-12-18 12:59:27.94
A5,2024-12-18 12:59:28.68
A5,2024-12-18 12:59:29.30
A5,2024-12-18 12:59:30.06
A5,2024-12-18 12:59:30.77
A5,2024-12-18 12:59:31.50
D7,2024-12-18 13:50:49.34
D7,2024-12-18 13:50:50.92
D7,2024-12-18 13:50:51.74
D7,2024-12-18 13:50:52.48
D7,2024-12-18 13:50:53.24
D7,2024-12-18 13:50:53.95
D7,2024-12-18 13:50:54.66
D7,2024-12-18 13:50:55.29
D7,2024-12-18 13:50:56.01
D7,2024-12-18 13:50:56.94
D7,2024-12-18 13:50:57.70
D7,2024-12-18 13:50:59.60
D7,2024-12-18 13:51:01.39
D7,2024-12-18 13:51:02.10
D7,2024-12-18 13:51:02.75
D7,2024-12-18 13:51:03.43
D7,2024-12-18 14:20:43.74
D7,2024-12-18 14:20:45.26
D7,2024-12-18 14:20:45.76
D7,2024-12-18 14:20:46.34
D7,2024-12-18 14:20:50.67
D7,2024-12-18 14:20:51.24
D7,2024-12-18 14:20:51.83
D7,2024-12-18 14:20:52.36
D7,2024-12-18 14:20:53.12
D7,2024-12-18 14:20:53.71
D7,2024-12-18 14:20:54.26
D7,2024-12-18 14:20:54.82
D7,2024-12-18 14:20:55.49
D7,2024-12-18 15:07:59.15
D7,2024-12-18 15:07:59.80
D7,2024-12-18 15:08:02.48
D7,2024-12-18 15:08:03.02
D7,2024-12-18 15:08:03.60
D7,2024-12-18 15:08:04.39
D7,2024-12-18 15:08:05.17
D7,2024-12-18 15:08:06.13
D7,2024-12-18 15:08:06.84
D7,2024-12-18 15:08:07.42
D7,2024-12-18 15:08:08.04
D7,2024-12-18 15:08:08.68
D7,2024-12-18 15:08:09.27
D7,2024-12-18 15:08:09.92
D7,2024-12-18 15:08:10.54
D7,2024-12-18 15:34:15.85
D7,2024-12-18 15:34:16.51
D7,2024-12-18 15:34:17.07
D7,2024-12-18 15:34:17.66
D7,2024-12-18 15:34:18.42
D7,2024-12-18 15:34:18.99
D7,2024-12-18 15:34:19.70
D7,2024-12-18 15:34:20.30
D7,2024-12-18 15:34:20.92
D7,2024-12-18 15:34:21.67
D7,2024-12-18 15:34:22.45
D7,2024-12-18 15:34:23.11
D7,2024-12-18 15:34:24.78
D7,2024-12-18 15:34:25.49
D7,2024-12-18 15:34:27.03
D7,2024-12-18 15:34:27.79
D7,2024-12-18 15:34:28.55
D7,2024-12-18 15:34:29.32
D7,2024-12-18 16:32:57.94
D7,2024-12-18 16:32:58.70
D7,2024-12-18 16:32:59.41
D7,2024-12-18 16:33:00.16
D7,2024-12-18 16:33:00.87
D7,2024-12-18 16:33:02.08
D7,2024-12-18 16:33:10.34
